Date,Hour,Is_Daytime,Radiation W/sqm,AirTemperature F,RelativeAirHumidity %,SystemProduction Wh,Cloud Coverage Minutes,Radiation_Sign,Radiation_Sign_Change,Season
2017-01-01,0,0,-7.4,32,97,0,60,-1.0,True,Winter
2017-01-01,1,0,-7.4,31,98,0,60,-1.0,False,Winter
2017-01-01,2,0,-6.7,29,99,0,60,-1.0,False,Winter
2017-01-01,3,0,-7.2,29,99,0,60,-1.0,False,Winter
2017-01-01,4,0,-6.3,38,67,0,60,-1.0,False,Winter
2017-01-01,5,0,-6.8,34,74,0,60,-1.0,False,Winter
2017-01-01,6,0,-7.0,32,79,0,60,-1.0,False,Winter
2017-01-01,7,1,-7.0,30,81,0,60,-1.0,False,Winter
2017-01-01,8,1,-6.6,30,77,0,60,-1.0,False,Winter
2017-01-01,9,1,-6.5,28,81,0,60,-1.0,False,Winter
2017-01-01,10,1,-0.8,28,80,0,60,-1.0,False,Winter
2017-01-01,11,1,49.7,31,74,215,14,1.0,True,Winter
2017-01-01,12,1,138.7,35,72,831,0,1.0,False,Winter
2017-01-01,13,1,121.6,36,66,349,1,1.0,False,Winter
2017-01-01,14,1,77.0,41,49,272,5,1.0,False,Winter
2017-01-01,15,1,33.1,40,48,130,34,1.0,False,Winter
2017-01-01,16,1,-1.1,38,49,0,44,-1.0,True,Winter
2017-01-01,17,0,-7.0,37,50,0,60,-1.0,False,Winter
2017-01-01,18,0,-6.3,37,48,0,60,-1.0,False,Winter
2017-01-01,19,0,-6.2,37,48,0,60,-1.0,False,Winter
2017-01-01,20,0,-6.0,36,47,0,60,-1.0,False,Winter
2017-01-01,21,0,-6.6,34,48,0,60,-1.0,False,Winter
2017-01-01,22,0,-6.4,34,47,0,60,-1.0,False,Winter
2017-01-01,23,0,-6.6,32,48,0,60,-1.0,False,Winter
2017-01-02,0,0,-7.6,28,61,0,60,-1.0,False,Winter
2017-01-02,1,0,-7.3,26,65,0,60,-1.0,False,Winter
2017-01-02,2,0,-6.9,26,66,0,60,-1.0,False,Winter
2017-01-02,3,0,-6.8,25,66,0,60,-1.0,False,Winter
2017-01-02,4,0,-7.4,25,62,0,60,-1.0,False,Winter
2017-01-02,5,0,-7.0,25,65,0,60,-1.0,False,Winter
2017-01-02,6,0,-6.1,28,58,0,60,-1.0,False,Winter
2017-01-02,7,1,-6.1,26,64,0,60,-1.0,False,Winter
2017-01-02,8,1,-6.5,26,67,0,60,-1.0,False,Winter
2017-01-02,9,1,-5.8,26,67,0,60,-1.0,False,Winter
2017-01-02,10,1,6.4,26,68,0,53,1.0,True,Winter
2017-01-02,11,1,40.1,27,67,248,51,1.0,False,Winter
2017-01-02,12,1,71.3,30,59,1087,0,1.0,False,Winter
2017-01-02,13,1,97.5,33,52,723,0,1.0,False,Winter
2017-01-02,14,1,80.0,32,51,131,0,1.0,False,Winter
2017-01-02,15,1,37.0,31,50,51,0,1.0,False,Winter
2017-01-02,16,1,0.7,30,51,0,43,1.0,False,Winter
2017-01-02,17,0,-6.1,29,54,0,60,-1.0,True,Winter
2017-01-02,18,0,-6.9,25,66,0,60,-1.0,False,Winter
2017-01-02,19,0,-6.8,24,69,0,60,-1.0,False,Winter
2017-01-02,20,0,-7.0,24,70,0,60,-1.0,False,Winter
2017-01-02,21,0,-6.9,22,74,0,60,-1.0,False,Winter
2017-01-02,22,0,-6.6,22,76,0,60,-1.0,False,Winter
2017-01-02,23,0,-6.1,23,76,0,60,-1.0,False,Winter
2017-01-03,0,0,-6.0,24,76,0,60,-1.0,False,Winter
2017-01-03,1,0,-6.0,25,79,0,60,-1.0,False,Winter
2017-01-03,2,0,-5.6,25,80,0,60,-1.0,False,Winter
2017-01-03,3,0,-5.8,25,81,0,60,-1.0,False,Winter
2017-01-03,4,0,-6.2,25,80,0,60,-1.0,False,Winter
2017-01-03,5,0,-6.9,24,81,0,60,-1.0,False,Winter
2017-01-03,6,0,-6.1,23,84,0,60,-1.0,False,Winter
2017-01-03,7,1,-6.1,24,82,0,60,-1.0,False,Winter
2017-01-03,8,1,-6.4,25,80,0,60,-1.0,False,Winter
2017-01-03,9,1,-5.5,26,81,0,60,-1.0,False,Winter
2017-01-03,10,1,-1.3,26,82,0,60,-1.0,False,Winter
2017-01-03,11,1,10.2,27,80,0,60,1.0,True,Winter
2017-01-03,12,1,39.3,28,78,592,60,1.0,False,Winter
2017-01-03,13,1,59.8,29,79,638,22,1.0,False,Winter
2017-01-03,14,1,85.5,30,79,253,0,1.0,False,Winter
2017-01-03,15,1,29.5,30,78,33,40,1.0,False,Winter
2017-01-03,16,1,-0.6,28,84,0,56,-1.0,True,Winter
2017-01-03,17,0,-6.4,27,84,0,60,-1.0,False,Winter
2017-01-03,18,0,-7.2,26,88,0,60,-1.0,False,Winter
2017-01-03,19,0,-6.2,35,74,0,60,-1.0,False,Winter
2017-01-03,20,0,-7.1,28,73,0,60,-1.0,False,Winter
2017-01-03,21,0,-7.5,27,71,0,60,-1.0,False,Winter
2017-01-03,22,0,-6.7,28,70,0,60,-1.0,False,Winter
2017-01-03,23,0,-6.3,28,69,0,60,-1.0,False,Winter
2017-01-04,0,0,-5.5,30,63,0,60,-1.0,False,Winter
2017-01-04,1,0,-6.4,28,64,0,60,-1.0,False,Winter
2017-01-04,2,0,-6.7,30,62,0,60,-1.0,False,Winter
2017-01-04,3,0,-6.4,30,65,0,60,-1.0,False,Winter
2017-01-04,4,0,-6.0,30,65,0,60,-1.0,False,Winter
2017-01-04,5,0,-6.2,30,62,0,60,-1.0,False,Winter
2017-01-04,6,0,-6.3,28,65,0,60,-1.0,False,Winter
2017-01-04,7,1,-6.0,29,66,0,60,-1.0,False,Winter
2017-01-04,8,1,-5.8,30,64,0,60,-1.0,False,Winter
2017-01-04,9,1,-5.1,30,54,0,60,-1.0,False,Winter
2017-01-04,10,1,0.7,29,42,0,60,1.0,True,Winter
2017-01-04,11,1,37.6,28,44,0,31,1.0,False,Winter
2017-01-04,12,1,75.5,28,45,128,18,1.0,False,Winter
2017-01-04,13,1,33.7,27,47,101,59,1.0,False,Winter
2017-01-04,14,1,21.8,26,60,18,60,1.0,False,Winter
2017-01-04,15,1,15.7,25,64,0,60,1.0,False,Winter
2017-01-04,16,1,-0.5,24,60,0,60,-1.0,True,Winter
2017-01-04,17,0,-5.3,24,62,0,60,-1.0,False,Winter
2017-01-04,18,0,-5.6,23,68,0,60,-1.0,False,Winter
2017-01-04,19,0,-5.5,22,81,0,60,-1.0,False,Winter
2017-01-04,20,0,-5.1,22,76,0,60,-1.0,False,Winter
2017-01-04,21,0,-5.0,21,73,0,60,-1.0,False,Winter
2017-01-04,22,0,-4.8,20,72,0,60,-1.0,False,Winter
2017-01-04,23,0,-5.9,19,72,0,60,-1.0,False,Winter
2017-01-05,0,0,-5.9,18,71,0,60,-1.0,False,Winter
2017-01-05,1,0,-6.2,17,71,0,60,-1.0,False,Winter
2017-01-05,2,0,-6.7,15,73,0,60,-1.0,False,Winter
